supplier,sku,name,pack,unit_price,currency
GlobalFoods,GFD-001,Fresh Apples Granny Smith,10 x 1kg,38.00,USD
GlobalFoods,GFD-002,Basmati Rice Premium,4 x 5kg,92.00,USD
GlobalFoods,GFD-003,Extra Virgin Olive Oil,6 x 1liter,78.00,USD
GlobalFoods,GFD-004,Whole Milk UHT,12 x 1liter,24.00,USD
GlobalFoods,GFD-005,Atlantic Salmon Fillet,4 x 2.5kg,185.00,USD
EuroProduce,EP-778,Apples Granny Smith,12/900g,36.00,USD
EuroProduce,EP-780,Long Grain Basmati Rice,10kg,22.00,USD
EuroProduce,EP-781,Olive Oil Extra Virgin,12 x 500ml,72.00,USD
EuroProduce,EP-782,Fresh Whole Milk,24/500ml,22.00,USD
EuroProduce,EP-783,Salmon Fillets Atlantic,5lb,42.00,USD
PrimeImports,PI-552,Granny Smith Apple,5lb,17.50,USD
PrimeImports,PI-553,Basmati Rice Long Grain,20lb,19.00,USD
PrimeImports,PI-554,EVOO Italian Cold Pressed,2 x 3liter,55.00,USD
PrimeImports,PI-555,Pasteurized Whole Milk,1 x 5liter,9.50,USD
PrimeImports,PI-556,Wild Caught Salmon Fillet,10lb,88.00,USD
MarketLine,ML-104,Chicken Breast Boneless,4 x 2.5kg,82.00,USD
MarketLine,ML-105,Beef Tenderloin Premium,2 x 3kg,210.00,USD
MarketLine,ML-106,Jasmine Rice Thai,25kg,48.00,USD
MarketLine,ML-107,Tomato Passata Organic,12 x 700g,32.00,USD
MarketLine,ML-108,Mozzarella Cheese Fresh,6 x 250g,27.00,USD
MetroSupply,MS-886,Boneless Chicken Breast,10lb,40.00,USD
MetroSupply,MS-887,Beef Tenderloin Choice Grade,5kg,175.00,USD
MetroSupply,MS-888,Thai Jasmine Rice,50lb,52.00,USD
MetroSupply,MS-889,Italian Tomato Sauce,24 x 400g,38.00,USD
MetroSupply,MS-890,Fresh Mozzarella Ball,12 x 125g,24.00,USD
